高级英语口语,2.0,TOM MANSON,英语语言文学系,1~4周 每周周一1~2节 三教106<br />1~4周 每周周二1~2节 三教106<br />1~4周 每周周三1~2节 三教106<br />1~4周 每周周四1~2节 三教106<br />
高级英语口语,2.0,外教（英语）,英语语言文学系,1~4周 每周周一1~2节 三教108<br />1~4周 每周周二1~2节 三教108<br />1~4周 每周周三1~2节 三教108<br />1~4周 每周周四1~2节 三教108<br />
美国文化概览,2.0,外教（英语）,英语语言文学系,1~4周 每周周一1~2节 三教206<br />1~4周 每周周二1~2节 三教206<br />1~4周 每周周三1~2节 三教206<br />1~4周 每周周四1~2节 三教206<br />
棒、垒球,1.0,焦晨曦(教学助理),体育教研部,1~2周 每周周一1~2节 <br />1~2周 每周周二1~2节 <br />1~2周 每周周三1~2节 <br />1~2周 每周周四1~2节 <br />1~2周 每周周五1~2节 <br />1~2周 每周周六1~2节 <br />1~2周 每周周日1~2节<br />
基本乐理与管弦乐基础,2.0,马清(教授),艺术学院,1~4周 每周周一1~4节 二教107<br />1~4周 每周周三1~4节 二教107<br />
中国文化史,2.0,王锦贵(教授),信息管理系,1~2周 每周周一1~4节 二教407<br />1~2周 每周周二1~4节 二教407<br />1~2周 每周周三1~4节 二教407<br />1~2周 每周周四1~4节 二教407<br />
